1,80.4,29,84.2,86.3,29.7,85.46,1001.46
1,80.3,29,84.2,87.2,29.5,85.1,997.53
1,80.2,28.9,84.02,88.1,29.4,84.92,1015.29
1,80.4,28.9,84.02,89.3,29.2,84.56,1008.99
1,81.4,28.9,84.02,89.8,29,84.2,1007.37
1,82.2,28.9,84.02,90.5,28.9,84.02,1007.36
1,82.7,28.9,84.02,91.3,28.7,83.66,1007.03
1,83.3,28.9,84.02,92.2,28.5,83.3,1005.52
1,81.3,28.9,84.02,93.1,28.5,83.3,1014.98
1,81.4,28.9,84.02,93.7,28.3,82.94,1016.19
1,82.1,28.9,84.02,94.1,28.2,82.76,1015.41
1,82.6,28.9,84.02,94.6,28.1,82.58,1015.36
1,83.1,28.9,84.02,95.2,28.1,82.58,1014.93
1,83.5,28.9,84.02,95.8,28,82.4,1014.38
1,83.8,28.9,84.02,96.3,28,82.4,1014.44
1,84.1,28.9,84.02,96.8,27.9,82.22,1013.67
1,84.3,28.9,84.02,97.2,27.9,82.22,1013.57
1,84.5,28.9,84.02,97.7,27.8,82.04,1012.99
1,84.6,28.9,84.02,98,27.8,82.04,1012.69
1,84.6,28.9,84.02,98.3,27.8,82.04,1012.07
1,84.7,29,84.2,98.5,27.8,82.04,1011.42
1,84.9,29,84.2,98.8,27.8,82.04,1011.16
1,84.9,29,84.2,99,27.7,81.86,1010.84
1,85,29,84.2,99.2,27.7,81.86,1010.38
1,85.1,29,84.2,99.4,27.7,81.86,1009.73
1,85.2,29,84.2,99.6,27.7,81.86,1009.4
1,85.3,29,84.2,99.7,27.8,82.04,1008.85
1,85.3,29,84.2,99.9,27.7,81.86,1008.29
1,85.2,29,84.2,99.9,27.8,82.04,1007.83
1,85.3,29,84.2,99.9,27.7,81.86,1007.62
1,84.7,29,84.2,99.9,27.8,82.04,1007.03
1,85.1,29,84.2,99.9,27.8,82.04,1006.9
1,85,29,84.2,99.9,27.8,82.04,1006.53
1,85,29,84.2,99.9,27.7,81.86,1006.23
1,85,29,84.2,99.9,27.8,82.04,1006.02
1,85.7,29,84.2,99.9,27.8,82.04,1005.8
1,86.2,29,84.2,99.9,27.8,82.04,1005.65
1,85.4,29,84.2,99.9,27.8,82.04,1005.47
1,85.4,28.9,84.02,99.9,27.8,82.04,1005.39
1,85,28.9,84.02,99.9,27.8,82.04,1005.22
1,85.2,29,84.2,99.9,27.9,82.22,1004.82
1,85.3,29,84.2,99.9,27.9,82.22,1004.73
1,85.5,29,84.2,99.9,27.9,82.22,1004.5
1,85.5,29,84.2,99.9,27.9,82.22,1004.35
1,85.3,29,84.2,99.9,27.9,82.22,1004.13
1,85.5,29,84.2,99.9,27.9,82.22,1003.98
1,85.4,29,84.2,99.9,27.9,82.22,1003.86
