1,57.2,31.2,88.16,58.7,31.4,88.52,-1.0,0,13
1,57.6,31.1,87.98,68.2,31.3,88.34,265.03,0,430
1,57.0,31.1,87.98,64.6,31.0,87.8,265.92,0,447
1,57.1,31.1,87.98,66.6,30.6,87.08,267.29,0,447
1,57.4,31.1,87.98,66.1,30.2,86.36,266.12,0,454
1,57.3,31.1,87.98,67.9,29.8,85.64,265.78,0,455
1,57.1,31.1,87.98,69.1,29.5,85.1,265.49,0,458
1,57.4,31.1,87.98,70.0,29.3,84.74,265.33,0,457
1,57.2,31.1,87.98,70.2,29.0,84.2,265.33,0,458
1,57.0,31.1,87.98,70.8,28.9,84.02,265.33,0,458
1,57.1,31.1,87.98,71.5,28.7,83.66,264.7,0,459
1,57.2,31.1,87.98,72.0,28.6,83.48,264.64,0,459
1,57.1,31.1,87.98,72.3,28.5,83.3,264.68,0,459
1,57.1,31.1,87.98,73.1,28.4,83.12,264.13,0,459
1,57.1,31.1,87.98,73.0,28.3,82.94,263.95,0,458
1,57.1,31.1,87.98,72.5,28.2,82.76,263.43,0,459
1,57.0,31.1,87.98,72.9,28.2,82.76,263.13,0,459
1,57.0,31.1,87.98,73.3,28.2,82.76,263.1,0,457
1,57.1,31.1,87.98,73.2,28.1,82.58,262.85,0,459
1,57.1,31.1,87.98,73.4,28.1,82.58,262.56,0,461
1,57.1,31.1,87.98,74.6,28.1,82.58,262.2,0,461
1,57.5,31.1,87.98,74.3,28.0,82.4,261.95,0,459
1,57.7,31.1,87.98,74.8,28.0,82.4,261.59,0,462
1,57.4,31.1,87.98,74.5,28.0,82.4,261.38,0,467
1,57.4,31.1,87.98,74.6,28.0,82.4,261.87,0,467
1,57.5,31.1,87.98,75.3,28.0,82.4,261.14,0,467
1,57.6,31.1,87.98,74.4,28.0,82.4,260.42,0,467
1,57.5,31.1,87.98,74.7,28.0,82.4,260.37,0,466
1,57.5,31.1,87.98,74.5,28.0,82.4,259.84,0,467
1,57.4,31.1,87.98,74.4,28.0,82.4,259.58,0,468
1,57.5,31.1,87.98,74.4,28.0,82.4,259.08,0,466
1,57.5,31.1,87.98,74.8,28.0,82.4,258.83,0,467
1,57.5,31.1,87.98,74.7,28.1,82.58,258.4,0,467
1,57.6,31.1,87.98,74.7,28.1,82.58,258.05,0,463
1,57.6,31.1,87.98,74.5,28.1,82.58,257.75,0,463
1,57.6,31.1,87.98,74.6,28.1,82.58,257.58,0,463
1,57.7,31.1,87.98,74.7,28.1,82.58,257.03,0,461
1,57.5,31.1,87.98,74.8,28.1,82.58,256.6,0,461
1,57.8,31.1,87.98,74.7,28.1,82.58,256.48,0,459
1,57.7,31.1,87.98,75.3,28.1,82.58,256.14,0,461
1,57.8,31.1,87.98,75.0,28.1,82.58,255.91,0,459
1,57.8,31.1,87.98,75.0,28.0,82.4,255.72,0,457
1,57.8,31.1,87.98,74.8,28.0,82.4,255.3,0,456
1,57.8,31.1,87.98,75.3,28.0,82.4,254.95,0,455
1,58.1,31.1,87.98,75.5,28.0,82.4,254.75,0,454
1,58.1,31.1,87.98,75.6,28.0,82.4,254.58,0,453
1,58.1,31.0,87.8,75.1,28.0,82.4,254.1,0,453
1,58.0,31.1,87.98,75.3,28.0,82.4,254.25,0,452
1,58.0,31.0,87.8,75.7,28.0,82.4,254.0,0,447
1,58.2,31.0,87.8,75.2,28.0,82.4,253.56,0,446
1,58.1,31.1,87.98,75.3,28.0,82.4,253.14,0,446
1,58.2,31.0,87.8,75.4,28.0,82.4,252.81,0,445
1,58.2,31.0,87.8,75.4,28.1,82.58,252.46,0,442
1,58.1,31.0,87.8,75.8,28.1,82.58,252.3,0,441
1,58.3,31.0,87.8,75.6,28.0,82.4,251.89,0,442
1,58.6,31.0,87.8,76.6,28.0,82.4,251.63,0,441
1,58.4,31.0,87.8,76.1,28.0,82.4,251.57,0,441
1,58.3,31.0,87.8,76.0,28.0,82.4,251.04,0,439
1,58.4,31.0,87.8,76.2,28.0,82.4,250.71,0,439
1,58.4,31.0,87.8,76.1,28.0,82.4,250.29,0,437
1,58.3,31.0,87.8,76.1,28.0,82.4,250.03,0,437
1,58.3,31.0,87.8,76.5,28.0,82.4,249.71,0,435
1,58.3,31.0,87.8,76.6,28.0,82.4,249.48,0,431
1,58.3,31.0,87.8,76.0,28.0,82.4,249.15,0,433
1,58.3,31.0,87.8,76.1,28.0,82.4,248.83,0,431
1,58.4,31.0,87.8,76.9,28.0,82.4,248.59,0,437
1,58.4,31.0,87.8,76.8,28.0,82.4,248.11,0,441
1,58.5,31.0,87.8,76.3,28.0,82.4,248.28,0,443
1,58.3,31.0,87.8,76.1,28.0,82.4,247.63,0,443
1,58.5,31.0,87.8,76.2,28.0,82.4,247.44,0,443
1,58.6,31.0,87.8,76.5,28.0,82.4,247.0,0,442
1,58.5,31.0,87.8,76.3,28.0,82.4,246.52,0,442
1,58.5,31.0,87.8,76.6,28.0,82.4,246.44,0,441
1,58.5,31.0,87.8,76.4,27.9,82.22,245.9,0,440
1,58.4,31.0,87.8,77.1,27.9,82.22,245.85,0,439
1,58.5,31.0,87.8,76.4,27.9,82.22,245.19,0,439
1,58.6,31.0,87.8,76.7,27.9,82.22,244.71,0,437
1,58.6,31.0,87.8,76.9,28.0,82.4,244.37,0,437
1,58.7,31.0,87.8,76.5,27.9,82.22,243.88,0,432
1,58.5,31.0,87.8,76.9,27.9,82.22,243.43,0,431
1,58.6,31.0,87.8,76.4,27.9,82.22,243.28,0,427
1,58.7,31.0,87.8,76.6,28.0,82.4,242.78,0,428
